Западная улица, 970 кв. 430, Омск, Россия, 815622
Спортивная улица, 951 кв. 604, Чебоксары, Россия, 355635
Больничная площадь, 421 кв. 272, Пермь, Россия, 968309
Майская улица, 156 кв. 441, Пермь, Россия, 408995
площадь Победы, 786 кв. 716, Волгоград, Россия, 108591
проспект Колхозная, 174 кв. 722, Екатеринбург, Россия, 851023
Лермонтова площадь, 608 кв. 496, Москва, Россия, 386280
площадь Почтовая, 517 кв. 876, Красноярск, Россия, 372476
улица Береговая, 343 кв. 997, Ставрополь, Россия, 194395
площадь Калинина, 446 кв. 317, Чебоксары, Россия, 904317
Маяковского ул., 914 кв. 346, Тольятти, Россия, 168860
Рабочая площадь, 332 кв. 895, Хабаровск, Россия, 677599
Северная пр., 681 кв. 766, Тюмень, Россия, 142107
Советская проспект, 944 кв. 919, Новокузнецк, Россия, 508727
пр. Ломоносова, 603 кв. 826, Иркутск, Россия, 364140
Молодежная улица, 461 кв. 130, Челябинск, Россия, 154840
улица Кооперативная, 313 кв. 706, Уфа, Россия, 651005
ул. Мичурина, 194 кв. 610, Челябинск, Россия, 960886
Заводская ул., 333 кв. 794, Москва, Россия, 425203
Южная ул., 114 кв. 800, Липецк, Россия, 527131
Дружбы проспект, 881 кв. 990, Иркутск, Россия, 842424
Березовая улица, 142 кв. 609, Екатеринбург, Россия, 515648
Юбилейная улица, 377 кв. 623, Белгород, Россия, 755927
Трудовая ул., 415 кв. 706, Пенза, Россия, 743466
Свободы площадь, 571 кв. 567, Киров, Россия, 103985
Садовый проспект, 618 кв. 296, Тольятти, Россия, 897829
пл. Совхозная, 264 кв. 215, Казань, Россия, 447318
площадь Дружбы, 852 кв. 833, Иваново, Россия, 749024
Чехова ул., 310 кв. 874, Курск, Россия, 342126
Свободы улица, 129 кв. 495, Чебоксары, Россия, 784730
ул. Солнечная, 917 кв. 268, Новокузнецк, Россия, 396725
ул. 8 Марта, 764 кв. 329, Волгоград, Россия, 733962
улица Мира, 852 кв. 884, Красноярск, Россия, 940540
ул. Восточная, 317 кв. 654, Курск, Россия, 435644
Заречная пл., 849 кв. 657, Москва, Россия, 454974
Центральная улица, 750 кв. 419, Тула, Россия, 368064
Энергетиков ул., 140 кв. 942, Курск, Россия, 669947
ул. Подгорная, 394 кв. 462, Тюмень, Россия, 234650
ул. Гагарина, 497 кв. 611, Курск, Россия, 541514
ул. Строителей, 961 кв. 397, Ижевск, Россия, 886933
площадь Лесная, 736 кв. 966, Казань, Россия, 861627
ул. Луговая, 239 кв. 272, Рязань, Россия, 336190
Космонавтов улица, 192 кв. 164, Хабаровск, Россия, 599150
ул. Шоссейная, 916 кв. 814, Липецк, Россия, 402966
Строительная улица, 603 кв. 746, Казань, Россия, 401382
ул. Полевая, 928 кв. 322, Воронеж, Россия, 462199
Почтовая ул., 829 кв. 445, Хабаровск, Россия, 625538
Парковая площадь, 457 кв. 292, Краснодар, Россия, 771737
проспект Коммунальная, 115 кв. 594, Ставрополь, Россия, 414445
площадь Западная, 480 кв. 686, Барнаул, Россия, 214562
проспект Парковая, 311 кв. 162, Томск, Россия, 418002
пл. Фрунзе, 120 кв. 637, Владивосток, Россия, 636276
Дорожная пл., 426 кв. 141, Магнитогорск, Россия, 570684
Дачная пр., 664 кв. 253, Тюмень, Россия, 379008
площадь Островского, 205 кв. 423, Новокузнецк, Россия, 134145
ул. Дзержинского, 893 кв. 279, Курск, Россия, 307617
Горького пл., 350 кв. 421, Тверь, Россия, 189514
Речная проспект, 181 кв. 839, Челябинск, Россия, 744852
Первомайская проспект, 412 кв. 183, Краснодар, Россия, 692768
Набережная ул., 190 кв. 671, Киров, Россия, 658614
площадь Мира, 726 кв. 886, Брянск, Россия, 470625
пр. Колхозная, 760 кв. 680, Санкт-Петербург, Россия, 167915
пр. Комсомольская, 238 кв. 128, Пермь, Россия, 196409
проспект Совхозная, 625 кв. 625, Омск, Россия, 664166
пр. Юбилейная, 790 кв. 988, Уфа, Россия, 457807
улица Полевая, 316 кв. 945, Новосибирск, Россия, 734896
улица Красноармейская, 912 кв. 176, Курск, Россия, 586169
Речная улица, 318 кв. 269, Нижний Новгород, Россия, 883382
проспект Железнодорожная, 578 кв. 124, Москва, Россия, 968399
улица Свободы, 739 кв. 776, Саратов, Россия, 937118
ул. Юбилейная, 507 кв. 656, Омск, Россия, 426859
проспект Озерная, 369 кв. 618, Волгоград, Россия, 982620
Коммунистическая ул., 171 кв. 581, Владимир, Россия, 422530
Гагарина улица, 847 кв. 862, Пенза, Россия, 332235
проспект Труда, 237 кв. 956, Сочи, Россия, 972378
пр. Пушкина, 536 кв. 142, Челябинск, Россия, 452424
пл. Коммунальная, 596 кв. 674, Липецк, Россия, 939211
Интернациональная пл., 200 кв. 962, Киров, Россия, 822821
улица Садовый, 921 кв. 550, Пенза, Россия, 895431
Коммунистическая пр., 600 кв. 222, Санкт-Петербург, Россия, 204447
пр. Заречная, 831 кв. 669, Красноярск, Россия, 518316
пр. Московская, 283 кв. 881, Тверь, Россия, 572960
проспект Юбилейная, 823 кв. 533, Махачкала, Россия, 864889
пр. Вокзальная, 587 кв. 479, Саратов, Россия, 925539
Школьная пр., 258 кв. 205, Тверь, Россия, 850532
ул. Речная, 530 кв. 507, Рязань, Россия, 604302
Комсомольская пл., 577 кв. 659, Тверь, Россия, 725588
Почтовая проспект, 844 кв. 365, Белгород, Россия, 562322
Суворова пл., 434 кв. 479, Астрахань, Россия, 989847
пр. Весенняя, 337 кв. 628, Санкт-Петербург, Россия, 929511
